index,municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,ç
435,SOBRADINHO,0,0,0,16,0,0,2,0,7,0,2,5,0,0,0,Sinimbu,4320677,-29.535699999990,-52.530500000000,10.269,10.288,10.158,10.034,10.137,9.996,10.110,9.874,9.748,9.613,9.513,9.492
436,SOLEDADE,0,0,0,69,3,1,2,0,17,2,6,0,0,0,1,Sobradinho,4320701,-29.419400000000,-53.032600000000,14.576,14.592,14.511,14.470,14.557,14.703,14.818,14.845,14.833,15.053,15.264,15.403
437,TABAI,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,Soledade,4320800,-28.830600000000,-52.513100000000,30.678,30.405,30.319,30.350,30.320,30.369,30.401,30.419,30.566,30.393,30.551,30.881
438,TAPEJARA,0,0,0,16,0,2,0,0,15,5,9,4,0,0,0,Tabaí,4320859,-29.643000000000,-51.682299999990,4.216,4.263,4.268,4.255,4.277,4.384,4.534,4.730,4.816,4.846,4.869,4.936
439,TAPERA,1,1,0,7,0,0,0,0,4,1,2,4,0,0,1,Tapejara,4320909,-28.065200000000,-52.009700000000,19.635,19.965,20.394,20.851,21.380,22.192,22.788,23.251,23.776,24.291,24.898,25.473
440,TAPES,1,1,0,12,1,2,0,1,6,0,6,6,0,0,1,Tapera,4321006,-28.627700000000,-52.861199999990,10.663,10.697,10.836,10.721,10.770,10.845,11.037,11.104,11.139,11.080,11.155,11.319
441,TAQUARA,0,0,0,47,0,4,9,0,38,0,29,8,0,0,0,Tapes,4321105,-30.668299999990,-51.399099999990,16.990,16.913,17.072,17.043,17.122,17.038,16.927,16.928,16.654,16.347,16.080,16.082
442,TAQUARI,1,1,0,6,0,0,1,1,6,0,11,2,0,0,1,Taquara,4321204,-29.650500000000,-50.775300000000,55.803,56.013,56.440,57.647,58.465,58.872,58.695,58.630,58.709,58.787,58.657,58.402
443,TAQUARUCU DO SUL,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Taquari,4321303,-29.794300000000,-51.865299999990,26.639,26.583,26.502,26.632,26.799,27.172,27.366,27.053,26.877,26.439,26.665,26.906
444,TAVARES,0,0,0,3,0,0,1,0,2,0,0,3,0,0,0,Taquaruçu do Sul,4321329,-27.400400000000,-53.470300000000,3.023,3.056,3.055,3.050,3.039,3.005,3.038,3.101,3.155,3.237,3.293,3.380
445,TENENTE PORTELA,1,1,0,21,0,0,0,0,3,3,2,0,0,0,1,Tavares,4321352,-31.284300000000,-51.088000000000,5.461,5.550,5.566,5.715,5.681,5.695,5.565,5.640,5.663,5.752,5.731,5.702
446,TERRA DE AREIA,0,0,0,15,1,1,1,0,9,1,0,4,0,0,0,Tenente Portela,4321402,-27.371099999990,-53.758499999990,14.019,14.144,14.171,14.257,14.139,14.240,14.131,14.187,14.142,14.290,14.371,14.610
447,TEUTONIA,0,0,0,9,0,0,1,0,26,0,10,1,0,0,0,Terra de Areia,4321436,-29.578199999990,-50.064399999990,10.090,10.140,10.332,10.573,10.675,10.892,10.920,11.061,11.170,11.436,11.672,11.908
448,TIO HUGO,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,Teutônia,4321451,-29.448200000000,-51.804400000000,27.824,28.592,29.523,29.987,30.405,30.821,31.336,31.895,32.620,33.548,34.316,35.083
449,TIRADENTES DO SUL,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Tio Hugo,4321469,-28.574040000000,-52.594900000000,2.778,2.843,2.871,2.889,2.894,2.884,2.928,2.933,3.037,3.049,3.150,3.199
450,TOROPI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Tiradentes do Sul,4321477,-27.402200000000,-54.081400000000,6.594,6.510,6.472,6.240,6.079,6.001,5.969,5.882,5.782,5.864,5.910,5.952
451,TORRES,2,2,0,95,0,8,8,2,64,4,7,7,0,0,2,Toropi,4321493,-29.478200000000,-54.224400000000,3.004,2.959,2.914,2.800,2.778,2.753,2.764,2.795,2.810,2.832,2.826,2.818
452,TRAMANDAI,2,2,0,195,2,26,21,2,64,2,24,30,0,0,2,Torres,4321501,-29.333400000000,-49.733300000000,35.371,35.769,36.430,36.606,37.120,37.635,38.727,39.425,40.289,40.906,41.722,42.390
453,TRAVESSEIRO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tramandaí,4321600,-29.984100000000,-50.132199999990,42.492,43.366,44.130,45.325,46.798,48.324,49.486,50.501,51.299,51.922,52.341,53.036
454,TRES ARROIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesseiro,4321626,-29.297699999990,-52.053199999990,2.357,2.437,2.469,2.441,2.401,2.362,2.412,2.431,2.528,2.545,2.559,2.496
455,TRES CACHOEIRAS,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,Três Arroios,4321634,-27.500299999990,-52.144799999990,2.908,2.891,2.914,2.866,2.874,2.813,2.874,2.854,2.851,2.866,2.904,2.931
456,TRES COROAS,0,0,0,18,0,1,2,0,2,2,11,0,0,0,0,Três Cachoeiras,4321667,-29.448699999990,-49.927500000000,10.427,10.539,10.503,10.514,10.627,10.841,11.033,11.135,11.246,11.382,11.428,11.466
457,TRES DE MAIO,0,0,0,5,0,0,0,0,12,1,3,1,0,0,0,Três Coroas,4321709,-29.513700000000,-50.773899999990,24.352,24.769,25.154,25.231,25.412,25.705,25.904,25.942,26.046,26.387,26.700,26.643
458,TRES FORQUILHAS,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Três de Maio,4321808,-27.780000000000,-54.235700000000,24.189,24.272,24.226,24.358,24.452,24.497,24.535,24.855,25.416,25.860,26.269,27.040
459,TRES PALMEIRAS,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Três Forquilhas,4321832,-29.538399999990,-50.070799999990,2.971,2.973,2.937,2.946,2.919,2.936,2.929,2.950,2.951,2.952,3.014,3.077
460,TRES PASSOS,0,0,0,13,1,0,2,0,9,0,1,12,0,0,0,Três Palmeiras,4321857,-27.613900000000,-52.843699999990,4.474,4.440,4.441,4.512,4.583,4.596,4.601,4.702,4.754,4.800,4.854,4.971
461,TRINDADE DO SUL,0,0,0,1,0,1,1,0,3,3,0,3,0,0,0,Três Passos,4321907,-27.455500000000,-53.929600000000,24.436,24.539,24.922,25.228,25.420,25.433,25.488,25.639,25.962,26.253,26.643,27.047
462,TRIUNFO,0,0,0,23,0,2,2,0,8,1,3,3,0,0,0,Trindade do Sul,4321956,-27.523900000000,-52.895600000000,5.907,5.813,5.808,5.779,5.852,5.892,6.043,6.087,6.132,6.149,6.187,6.370
463,TUCUNDUVA,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,Triunfo,4322004,-29.929099999990,-51.707500000000,26.349,26.266,26.173,26.013,25.835,25.781,25.827,26.069,26.286,26.498,26.622,26.816
464,TUNAS,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,Tucunduva,4322103,-27.657299999990,-54.443899999990,6.013,5.940,5.872,5.888,5.876,5.946,5.942,5.948,6.009,6.012,6.023,5.955
465,TUPANCI DO SUL,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,Tunas,4322152,-29.103899999990,-52.953800000000,4.486,4.382,4.316,4.234,4.204,4.212,4.172,4.230,4.176,4.211,4.213,4.211
466,TUPANCIRETA,1,1,0,17,0,1,0,0,6,0,3,0,0,0,1,Tupanci do Sul,4322186,-27.924099999990,-51.538300000000,1.604,1.542,1.535,1.529,1.556,1.506,1.494,1.469,1.479,1.487,1.488,1.493
467,TUPANDI,0,0,0,2,0,0,0,0,1,1,1,2,0,0,0,Tupanciretã,4322202,-29.085799999990,-53.844499999990,22.761,22.648,22.458,22.109,22.200,22.188,22.161,21.886,21.817,21.689,21.575,21.380
468,TUPARENDI,0,0,0,5,0,2,0,0,1,0,2,1,0,0,0,Tupandi,4322251,-29.477200000000,-51.417400000000,4.005,4.190,4.269,4.305,4.368,4.480,4.677,4.790,4.917,5.060,5.176,5.263
469,TURUCU,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,Tuparendi,4322301,-27.759799999990,-54.481400000000,8.709,8.617,8.556,8.474,8.505,8.404,8.467,8.452,8.583,8.565,8.598,8.637
470,UBIRETAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Turuçu,4322327,-31.417300000000,-52.170600000000,3.598,3.573,3.527,3.599,3.699,3.777,3.823,3.806,3.721,3.689,3.587,3.599
471,UNIAO DA SERRA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ubiretama,4322343,-28.040400000000,-54.685899999990,2.336,2.324,2.377,2.314,2.289,2.266,2.235,2.203,2.144,2.151,2.137,2.171
472,UNISTALDA,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,União da Serra,4322350,-28.783300000000,-52.023800000000,1.517,1.473,1.453,1.443,1.433,1.401,1.400,1.395,1.405,1.387,1.401,1.402
473,URUGUAIANA,5,6,0,129,1,9,28,0,65,4,11,8,0,0,6,Unistalda,4322376,-29.039999999990,-55.151699999990,2.497,2.466,2.442,2.389,2.368,2.340,2.331,2.327,2.348,2.350,2.276,2.244
474,VACARIA,3,3,0,92,2,0,10,4,32,10,18,5,0,0,3,Uruguaiana,4322400,-29.761399999990,-57.085299999990,128.264,127.227,125.729,124.419,122.895,122.175,120.966,120.384,119.245,118.832,117.911,117.297
475,VALE DO SOL,0,0,0,5,3,0,1,1,2,0,0,0,0,0,1,Vacaria,4322509,-28.507899999990,-50.941800000000,62.676,63.210,63.861,63.968,64.182,64.887,65.640,66.110,66.131,66.527,67.139,67.543
476,VALE REAL,0,0,0,3,0,0,0,0,4,1,2,0,0,0,0,Vale do Sol,4322533,-29.596699999990,-52.683900000000,11.303,11.305,11.212,11.449,11.476,11.622,11.450,11.192,11.046,11.025,10.984,10.982
477,VALE VERDE,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,Vale Real,4322541,-29.391900000000,-51.255899999990,5.224,5.269,5.262,5.261,5.356,5.477,5.592,5.661,5.801,5.916,6.083,6.111
478,VANINI,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Vale Verde,4322525,-29.786400000000,-52.185699999990,3.321,3.333,3.297,3.254,3.299,3.350,3.432,3.466,3.477,3.416,3.357,3.367
479,VENANCIO AIRES,1,1,0,68,1,3,4,0,27,1,5,1,0,0,1,Vanini,4322558,-28.475800000000,-51.844700000000,2.021,2.043,2.081,2.072,2.063,2.041,2.080,2.103,2.130,2.136,2.132,2.141
480,VERA CRUZ,0,0,0,14,0,0,0,0,9,1,3,1,0,0,0,Venâncio Aires,4322608,-29.614300000000,-52.193199999990,67.264,67.582,68.320,68.004,68.651,68.798,69.444,69.322,69.731,70.250,70.960,70.904
481,VERANOPOLIS,0,0,0,11,0,0,0,0,6,2,6,8,0,0,0,Vera Cruz,4322707,-29.718399999990,-52.515200000000,24.470,24.607,24.979,25.155,25.407,25.463,25.605,25.599,25.878,26.063,26.357,26.639
482,VESPASIANO CORREA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Veranópolis,4322806,-28.931200000000,-51.551600000000,23.249,23.161,23.707,23.805,24.148,24.016,24.120,24.141,24.531,25.064,25.538,25.800
483,VIADUTOS,0,0,0,2,1,0,0,0,1,1,2,0,0,0,0,Vespasiano Correa,4322855,-29.065500000000,-51.862500000000,2.014,2.021,2.011,1.968,1.974,1.991,2.005,2.056,2.056,2.040,1.969,1.970
484,VIAMAO,4,4,0,190,5,14,152,26,150,5,20,23,0,0,4,Viadutos,4322905,-27.571600000000,-52.021099999990,5.409,5.376,5.371,5.298,5.336,5.215,5.236,5.175,5.177,5.159,5.075,5.052
485,VICENTE DUTRA,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,Viamão,4323002,-30.081900000000,-51.019399999990,244.610,244.530,244.344,245.974,246.923,247.067,246.942,245.864,244.699,241.560,239.243,235.638
486,VICTOR GRAEFF,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,Vicente Dutra,4323101,-27.160799999990,-53.402200000000,5.402,5.280,5.317,5.216,5.200,5.113,5.129,5.114,5.153,5.153,5.077,5.087
487,VILA FLORES,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Victor Graeff,4323200,-28.563199999990,-52.749499999990,3.099,3.018,3.010,3.084,3.117,3.153,3.115,3.072,3.088,3.108,3.138,3.102
488,VILA LANGARO,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Vila Flores,4323309,-28.859800000000,-51.550400000000,3.267,3.316,3.395,3.373,3.376,3.397,3.426,3.527,3.589,3.623,3.588,3.593
489,VILA MARIA,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,Vila Lângaro,4323358,-28.106200000000,-52.143799999990,2.191,2.145,2.110,2.081,2.104,2.095,2.115,2.095,2.080,2.124,2.129,2.130
490,VILA NOVA DO SUL,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,Vila Maria,4323408,-28.535900000000,-52.148699999990,4.300,4.430,4.456,4.464,4.384,4.414,4.406,4.412,4.423,4.512,4.602,4.665
491,VISTA ALEGRE,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Vila Nova do Sul,4323457,-30.346100000000,-53.875999999990,4.307,4.284,4.295,4.186,4.092,3.971,3.874,3.932,3.926,4.031,4.017,4.117
492,VISTA ALEGRE DO PRATA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Vista Alegre,4323507,-27.368600000000,-53.491900000000,2.887,2.855,2.790,2.790,2.797,2.806,2.801,2.784,2.863,2.899,2.885,2.827
493,VISTA GAUCHA,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,Vista Alegre do Prata,4323606,-28.805199999990,-51.794600000000,1.601,1.598,1.578,1.539,1.582,1.630,1.677,1.645,1.648,1.704,1.721,1.746
494,VITORIA DAS MISSOES,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,Vista Gaúcha,4323705,-27.290199999990,-53.697400000000,2.813,2.836,2.842,2.828,2.787,2.790,2.802,2.834,2.885,2.940,2.987,3.002
495,WESTFALIA,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,Vitória das Missões,4323754,-28.351600000000,-54.503999999990,3.554,3.436,3.453,3.403,3.415,3.448,3.383,3.439,3.389,3.438,3.397,3.405
496,XANGRI-LA,2,2,0,66,1,1,2,0,50,2,11,14,0,0,2,Westfalia,4323770,-29.374400000000,-51.746299999990,2.844,2.833,2.864,2.957,2.974,3.007,3.039,3.088,3.136,3.125,3.226,3.257
497,ACEGUA,0,0,0,4,1,0,0,0,5,0,2,0,0,0,0,Xangri-lá,4323804,-29.806500000000,-50.051900000000,12.708,13.085,13.351,13.776,14.165,14.483,14.813,15.362,15.858,16.214,16.343,16.744
498,AGUA SANTA,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
499,AGUDO,0,0,0,4,0,0,0,1,7,1,0,0,0,0,0,,,,,,,,,,,,,,,,
500,AJURICABA,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
501,ALECRIM,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
502,ALEGRETE,0,0,0,81,7,0,1,0,43,4,9,5,0,0,0,,,,,,,,,,,,,,,,
503,ALEGRIA,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
504,ALMIRANTE TAMANDARE DO SUL,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
505,ALPESTRE,0,0,0,5,3,0,0,0,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,
506,ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
507,ALTO FELIZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
508,ALVORADA,4,4,0,125,1,15,141,24,117,7,13,29,0,0,5,,,,,,,,,,,,,,,,
509,AMARAL FERRADOR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
510,AMETISTA DO SUL,1,1,0,2,0,1,0,0,6,1,1,1,0,0,1,,,,,,,,,,,,,,,,
511,ANDRE DA ROCHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
512,ANTA GORDA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
513,ANTONIO PRADO,0,0,0,6,0,0,1,1,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
514,ARAMBARE,0,0,0,9,1,0,0,0,2,0,8,3,0,0,0,,,,,,,,,,,,,,,,
515,ARARICA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,
516,ARATIBA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
517,ARROIO DO MEIO,0,0,0,7,0,2,1,0,9,1,7,1,0,0,0,,,,,,,,,,,,,,,,
518,ARROIO DO PADRE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
519,ARROIO DO SAL,0,0,0,18,0,0,1,0,15,1,2,8,0,0,0,,,,,,,,,,,,,,,,
520,ARROIO DO TIGRE,0,0,0,3,2,1,0,0,3,0,0,1,0,0,0,,,,,,,,,,,,,,,,
521,ARROIO DOS RATOS,0,0,0,7,0,0,0,1,9,0,2,5,0,0,0,,,,,,,,,,,,,,,,
522,ARROIO GRANDE,0,0,0,16,0,1,3,0,6,1,4,1,0,0,0,,,,,,,,,,,,,,,,
523,ARVOREZINHA,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,
524,AUGUSTO PESTANA,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
525,AUREA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
526,BAGE,1,1,0,135,3,2,23,0,71,5,12,12,0,0,1,,,,,,,,,,,,,,,,
527,BALNEARIO PINHAL,0,0,1,26,0,3,3,0,10,1,6,0,1,0,1,,,,,,,,,,,,,,,,
528,BARAO,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
529,BARAO DE COTEGIPE,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
530,BARAO DO TRIUNFO,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
531,BARRA DO GUARITA,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,
532,BARRA DO QUARAI,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,
533,BARRA DO RIBEIRO,0,0,0,10,3,1,0,0,10,0,3,0,0,0,0,,,,,,,,,,,,,,,,
534,BARRA DO RIO AZUL,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
535,BARRA FUNDA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
536,BARRACAO,0,0,0,3,1,0,0,0,1,2,1,1,0,0,0,,,,,,,,,,,,,,,,
537,BARROS CASSAL,0,0,0,16,2,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
538,BENJAMIN CONSTANT DO SUL,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
539,BENTO GONCALVES,2,2,0,62,0,3,10,3,112,2,34,15,0,0,2,,,,,,,,,,,,,,,,
540,BOA VISTA DAS MISSOES,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
541,BOA VISTA DO BURICA,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
542,BOA VISTA DO CADEADO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
543,BOA VISTA DO INCRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
544,BOA VISTA DO SUL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
545,BOM JESUS,0,0,0,7,4,0,0,1,4,0,4,4,0,0,0,,,,,,,,,,,,,,,,
546,BOM PRINCIPIO,0,0,0,4,0,0,1,1,11,2,2,4,0,0,0,,,,,,,,,,,,,,,,
547,BOM PROGRESSO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
548,BOM RETIRO DO SUL,0,0,0,6,0,0,0,0,3,1,0,2,0,0,0,,,,,,,,,,,,,,,,
549,BOQUEIRAO DO LEAO,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
550,BOSSOROCA,0,0,0,3,1,0,0,0,7,0,3,1,0,0,0,,,,,,,,,,,,,,,,
551,BOZANO,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
552,BRAGA,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,
553,BROCHIER,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
554,BUTIA,0,0,0,19,0,0,2,0,8,1,4,5,0,0,0,,,,,,,,,,,,,,,,
555,CACAPAVA DO SUL,0,0,0,33,3,0,1,0,20,2,5,3,0,0,0,,,,,,,,,,,,,,,,
556,CACEQUI,0,0,0,23,8,0,1,0,4,1,2,0,0,0,0,,,,,,,,,,,,,,,,
557,CACHOEIRA DO SUL,0,0,0,100,7,9,9,1,26,3,7,10,0,0,0,,,,,,,,,,,,,,,,
558,CACHOEIRINHA,1,1,0,120,0,6,40,10,108,2,9,7,0,0,1,,,,,,,,,,,,,,,,
559,CACIQUE DOBLE,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,
560,CAIBATE,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,
561,CAICARA,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
562,CAMAQUA,0,0,0,68,3,1,4,0,30,5,13,2,0,0,0,,,,,,,,,,,,,,,,
563,CAMARGO,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,,,,,,,,,,,,,,,,
564,CAMBARA DO SUL,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
565,CAMPESTRE DA SERRA,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
566,CAMPINA DAS MISSOES,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
567,CAMPINAS DO SUL,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
568,CAMPO BOM,0,0,0,76,0,11,7,4,28,0,8,3,0,0,0,,,,,,,,,,,,,,,,
569,CAMPO NOVO,0,0,0,9,0,0,0,0,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,
570,CAMPOS BORGES,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
571,CANDELARIA,1,1,0,18,4,0,3,0,11,0,8,4,0,0,1,,,,,,,,,,,,,,,,
572,CANDIDO GODOI,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,
573,CANDIOTA,0,0,0,8,2,1,0,0,2,0,1,2,0,0,0,,,,,,,,,,,,,,,,
574,CANELA,1,1,0,46,0,3,3,0,49,2,14,10,0,0,1,,,,,,,,,,,,,,,,
575,CANGUCU,0,0,0,27,3,1,2,0,11,4,2,0,0,0,0,,,,,,,,,,,,,,,,
576,CANOAS,14,15,0,390,2,40,135,25,356,8,57,30,0,0,15,,,,,,,,,,,,,,,,
577,CANUDOS DO VALE,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
578,CAPAO BONITO DO SUL,0,0,0,4,4,0,0,0,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,
579,CAPAO DA CANOA,1,1,0,99,1,2,15,1,77,3,6,20,0,0,1,,,,,,,,,,,,,,,,
580,CAPAO DO CIPO,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
581,CAPAO DO LEAO,0,0,0,16,4,0,2,0,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,
582,CAPELA DE SANTANA,0,0,0,2,0,1,0,0,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,
583,CAPITAO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
584,CAPIVARI DO SUL,0,0,0,5,0,0,0,0,4,0,2,0,0,0,0,,,,,,,,,,,,,,,,
585,CARAA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
586,CARAZINHO,1,1,0,43,0,5,7,0,54,5,10,16,0,0,1,,,,,,,,,,,,,,,,
587,CARLOS BARBOSA,1,1,0,11,2,1,1,0,17,0,6,2,0,0,1,,,,,,,,,,,,,,,,
588,CARLOS GOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
589,CASCA,0,0,0,7,0,1,0,0,6,0,0,4,0,0,0,,,,,,,,,,,,,,,,
590,CASEIROS,1,1,0,3,0,0,1,0,0,0,2,0,0,0,1,,,,,,,,,,,,,,,,
591,CATUIPE,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
592,CAXIAS DO SUL,12,12,0,316,2,73,74,15,346,13,21,29,0,0,12,,,,,,,,,,,,,,,,
593,CENTENARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
594,CERRITO,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
595,CERRO BRANCO,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
596,CERRO GRANDE,0,0,0,5,2,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
597,CERRO GRANDE DO SUL,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
598,CERRO LARGO,0,0,0,5,0,0,1,0,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,
599,CHAPADA,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
600,CHARQUEADAS,0,0,0,6,0,1,1,0,10,2,12,13,0,0,0,,,,,,,,,,,,,,,,
601,CHARRUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
602,CHIAPETTA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
603,CHUI,0,0,0,10,4,0,4,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,
604,CHUVISCA,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
605,CIDREIRA,0,0,0,28,0,5,9,0,22,0,4,5,0,0,0,,,,,,,,,,,,,,,,
606,CIRIACO,0,0,0,2,1,0,0,0,3,0,1,1,0,0,0,,,,,,,,,,,,,,,,
607,COLINAS,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
608,COLORADO,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
