municipios,homicidio_doloso,total_vitimas_homicidio_doloso,latrocinio,furtos,abigeato,furto_veiculo,roubos,roubo_veiculo,estelionato,delitos_armas_municoes,entorpecente_posse,entorpecente_trafico,vitimas_latrocinio,vitimas_lesao_corporal_morte,total_vitimas_crimes_violentos,cluster
ERECHIM,22,25,0,892,4,46,95,12,984,184,357,142,0,1,30,1
ERNESTINA,1,1,0,21,2,1,0,2,19,4,9,0,0,0,1,0
ERVAL GRANDE,0,0,0,25,2,1,2,0,24,5,3,3,0,0,0,0
ERVAL SECO,0,0,0,29,6,2,1,0,15,8,9,3,0,0,0,0
ESMERALDA,2,2,0,43,1,1,6,2,8,7,2,1,0,0,2,0
ESPERANCA DO SUL,0,0,0,4,0,2,0,0,6,6,0,5,0,0,0,0
ESPUMOSO,3,3,0,98,6,8,6,0,53,12,5,6,0,0,3,0
ESTACAO,0,0,0,31,1,1,2,0,31,3,14,6,0,0,3,0
ESTANCIA VELHA,1,1,0,477,3,25,66,17,196,9,53,22,0,0,3,0
ESTEIO,9,10,0,1155,0,85,266,31,917,20,96,119,0,0,11,0
ESTRELA,5,5,0,239,2,13,14,4,244,12,92,38,0,2,9,1
ESTRELA VELHA,0,0,0,21,1,0,0,0,12,2,1,0,0,0,0,0
EUGENIO DE CASTRO,0,0,0,8,1,0,0,0,5,4,2,2,0,0,0,0
FAGUNDES VARELA,0,0,0,5,0,1,0,0,4,1,1,0,0,0,0,0
FARROUPILHA,13,13,0,508,5,64,60,26,791,42,71,122,0,0,15,0
FAXINAL DO SOTURNO,2,2,0,54,1,0,2,0,33,7,2,4,0,0,2,0
FAXINALZINHO,1,1,0,12,2,1,0,0,5,4,1,1,0,0,1,0
FAZENDA VILA NOVA,1,1,0,45,4,2,1,0,27,1,11,6,0,0,1,0
FELIZ,0,0,0,86,2,7,4,0,137,2,36,16,0,0,0,0
FLORES DA CUNHA,3,5,0,178,6,29,14,3,277,13,20,20,0,0,5,0
FLORIANO PEIXOTO,0,0,0,5,1,0,0,0,9,0,0,0,0,0,0,0
FONTOURA XAVIER,0,0,0,83,10,5,3,0,12,8,10,0,0,0,0,0
FORMIGUEIRO,1,1,0,67,14,1,2,0,37,7,2,9,0,0,1,0
FORQUETINHA,0,0,0,17,2,1,0,0,11,1,1,0,0,0,0,0
FORTALEZA DOS VALOS,0,0,0,44,2,3,1,0,34,1,0,0,0,0,0,0
FREDERICO WESTPHALEN,3,3,0,207,10,15,9,1,233,17,139,47,0,0,3,0
GARIBALDI,4,4,0,189,2,18,20,6,203,12,48,14,0,0,6,0
GARRUCHOS,0,0,0,22,16,2,0,0,4,2,0,0,0,0,0,0
GAURAMA,1,1,0,34,0,0,0,0,32,2,2,2,0,0,1,0
GENERAL CAMARA,0,0,0,103,17,2,3,0,28,4,19,5,0,0,0,0
GENTIL,0,0,0,21,3,0,3,1,9,5,1,1,0,0,0,0
GETULIO VARGAS,3,3,0,98,0,6,5,0,135,4,65,42,0,0,4,0
GIRUA,1,1,0,118,6,5,10,0,37,11,33,14,0,0,1,0
GLORINHA,3,4,0,67,10,2,6,2,49,4,12,10,0,0,4,0
GRAMADO,4,4,0,523,2,19,14,3,560,23,253,81,0,0,4,0
GRAMADO DOS LOUREIROS,0,0,0,14,4,1,0,1,4,3,0,2,0,0,0,0
GRAMADO XAVIER,1,1,0,15,2,2,0,0,17,1,2,1,0,0,1,0
GRAVATAI,22,25,0,2386,27,254,998,124,2454,102,189,276,0,0,28,0
GUABIJU,0,0,0,4,0,0,0,1,4,0,1,0,0,0,0,0
