municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos
itati;4310652;0;0;0;3;0;1;0;0;2;1;1;0;0;0;0
itatiba do sul;4310702;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0
ivora;4310751;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
ivoti;4310801;1;1;0;9;0;0;1;0;20;0;3;2;0;0;1
jaboticaba;4310850;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
jacuizinho;4310876;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
jacutinga;4310900;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
jaguarao;4311007;0;0;0;26;4;2;2;0;10;0;4;0;0;0;0
jaguari;4311106;0;0;0;4;1;0;1;1;6;0;2;1;0;0;0
jaquirana;4311122;0;0;0;0;0;0;0;0;5;1;2;0;0;0;0
jari;4311130;0;0;0;5;2;0;0;0;2;0;0;0;0;0;0
joia;4311155;0;0;0;4;0;2;1;0;1;0;1;0;0;0;0
julio de castilhos;4311205;0;0;0;19;2;0;1;0;9;1;4;7;0;0;0
lagoa bonita do sul;4311239;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
lagoa dos tres cantos;4311270;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0
lagoa vermelha;4311304;1;1;0;38;4;1;3;0;21;1;8;9;0;0;1
lagoao;4311254;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
lajeado;4311403;0;0;0;102;0;5;10;1;85;2;18;19;0;0;0
lajeado do bugre;4311429;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
lavras do sul;4311502;0;0;0;5;3;0;0;0;4;0;0;0;0;0;0
liberato salzano;4311601;0;0;0;3;1;0;0;0;5;0;0;0;0;0;0
lindolfo collor;4311627;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0
linha nova;4311643;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
macambara;4311718;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0
machadinho;4311700;0;0;0;8;2;1;0;0;0;0;0;0;0;0;0
