municipios;ibge;homicidio_doloso;total_vitimas_homicidio_doloso;latrocinio;furtos;abigeato;furto_veiculo;roubos;roubo_veiculo;estelionato;delitos_armas_municoes;entorpecente_posse;entorpecente_trafico;vitimas_latrocinio;vitimas_lesao_corporal_morte;total_vitimas_crimes_violentos;latitude;longitude;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;taxa_homicidio_doloso;taxa_total_vitimas_homicidio_doloso;taxa_latrocinio;taxa_furtos;taxa_abigeato;taxa_furto_veiculo;taxa_roubos;taxa_roubo_veiculo;taxa_estelionato;taxa_delitos_armas_municoes;taxa_entorpecente_posse;taxa_entorpecente_trafico;taxa_vitimas_latrocinio;taxa_vitimas_lesao_corporal_morte;taxa_total_vitimas_crimes_violentos
benjamin constant do sul;4302055;1;1;0;3;0;0;0;0;6;3;0;0;0;0;1;-27.5086;-52.59949999999;2358;2377;2333;2331;2321;2349;2350;2331;2271;2192;2182;2203;45.392646391284615;45.392646391284615;0.0;136.17793917385384;0.0;0.0;0.0;0.0;272.3558783477077;136.17793917385384;0.0;0.0;0.0;0.0;45.392646391284615
bento goncalves;4302105;30;30;0;1165;6;84;148;14;1226;70;362;195;0;1;32;-29.1662;-51.5165;109383;111300;113296;112667;115606;118255;119723;120961;121826;124516;126919;130149;23.050503653504826;23.050503653504826;0.0;895.1278918777708;4.610100730700966;64.54141022981352;113.71581802395717;10.75690170496892;941.9972493065641;53.784508524844604;278.14274408562494;149.8282737477814;0.0;0.7683501217834943;24.587203897071817
boa vista das missoes;4302154;0;0;0;19;0;1;0;0;10;0;1;2;0;0;1;-27.6671;-53.3102;2155;2109;2092;2041;2061;2091;2107;2100;2064;2077;2066;2089;0.0;0.0;0.0;909.5260890378171;0.0;47.86979415988511;0.0;0.0;478.6979415988511;0.0;47.86979415988511;95.73958831977022;0.0;0.0;47.86979415988511
boa vista do burica;4302204;0;0;0;18;0;0;1;0;31;4;3;3;0;0;0;-27.6693;-54.10819999999;6702;6722;6702;6700;6706;6723;6782;6927;7118;7218;7304;7331;0.0;0.0;0.0;245.5326694857455;0.0;0.0;13.640703860319192;0.0;422.86181966989494;54.56281544127677;40.922111580957576;40.922111580957576;0.0;0.0;0.0
boa vista do cadeado;4302220;0;0;0;23;3;0;1;0;13;3;0;0;0;0;0;-28.5716;-53.8138;2487;2468;2421;2492;2491;2497;2432;2459;2519;2497;2407;2337;0.0;0.0;0.0;984.1677364142062;128.36970474967907;0.0;42.78990158322636;0.0;556.2687205819427;128.36970474967907;0.0;0.0;0.0;0.0;0.0
boa vista do incra;4302238;0;0;0;22;4;1;0;0;12;1;0;0;0;0;0;-28.8092;-53.3874;2471;2465;2447;2453;2461;2458;2396;2468;2494;2551;2505;2504;0.0;0.0;0.0;878.5942492012779;159.7444089456869;39.936102236421725;0.0;0.0;479.23322683706067;39.936102236421725;0.0;0.0;0.0;0.0;0.0
boa vista do sul;4302253;0;0;0;17;2;1;0;0;10;0;0;0;0;0;0;-29.35439999999;-51.6687;2824;2896;2938;3001;2987;2993;3015;2956;3014;3088;3139;3165;0.0;0.0;0.0;537.1248025276461;63.1911532385466;31.5955766192733;0.0;0.0;315.955766192733;0.0;0.0;0.0;0.0;0.0;0.0
bom jesus;4302303;2;2;0;103;10;5;6;1;54;11;27;48;0;0;2;-28.66969999999;-50.42949999999;11775;11724;11667;11466;11300;11194;11244;11371;11501;11525;11605;11695;17.101325352714834;17.101325352714834;0.0;880.7182556648141;85.50662676357418;42.75331338178709;51.3039760581445;8.550662676357417;461.7357845233006;94.0572894399316;230.8678922616503;410.431808465156;0.0;0.0;17.101325352714834
bom principio;4302352;1;1;0;63;1;8;2;2;131;4;54;13;0;0;1;-29.4856;-51.35479999999;12027;12421;12707;12832;12941;13190;13561;14023;14145;14545;14430;14688;6.8082788671023975;6.8082788671023975;0.0;428.921568627451;6.8082788671023975;54.46623093681918;13.616557734204795;13.616557734204795;891.884531590414;27.23311546840959;367.6470588235294;88.50762527233115;0.0;0.0;6.8082788671023975
bom progresso;4302378;2;2;0;5;0;1;0;0;7;1;1;3;0;0;2;-27.53989999999;-53.8716;2373;2404;2370;2395;2363;2347;2300;2304;2294;2343;2351;2396;83.47245409015025;83.47245409015025;0.0;208.6811352253756;0.0;41.736227045075125;0.0;0.0;292.1535893155259;41.736227045075125;41.736227045075125;125.20868113522538;0.0;0.0;83.47245409015025
